time,found,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
0.1856954710001446,True,1,281,79,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.6411843712535681,-0.15088834401226184
0.9319509259994447,True,1,75,128,2,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1597323902007537,-0.20400097588404853
0.9975112590000208,True,1,58,102,4,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.2109801156950666,-0.46538603504414683
1.0322787309996784,True,1,57,92,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.2165315613507355,-0.5577328212691378
1.1010533560001932,True,1,58,79,2,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.2064997711819951,-0.6309528797086833
1.101261175000218,True,2,59,76,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.2095434173779642,-0.6610582923002345
1.1312852049995854,True,1,59,74,4,5,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.201976578792294,-0.6489252571353286
1.1978001779998522,True,1,64,80,3,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1841682105888744,-0.5902055123517309
1.1980221029998575,True,2,64,78,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1910771847509896,-0.6195310220366591
1.22366706899993,True,1,68,90,4,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1713720763183217,-0.49924816948495915
1.2238709000002927,True,2,70,89,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.170828664225525,-0.5188326569821661
1.2240063230001397,True,3,68,86,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1776621003576575,-0.5483317579239647
1.2985307809994993,True,1,76,112,7,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1463691192729588,-0.30328576214943337
1.2987906819998898,True,2,76,112,2,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1532371757480686,-0.32522828219309574
1.5989852350003275,True,1,98,144,2,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0783413909839812,-0.04072724130358116
1.6299419179995311,True,1,96,132,5,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0798862407571521,-0.11789711411910059
1.6985457929995391,True,1,95,116,8,7,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.077564838137739,-0.21186296733384052
1.6988079370003106,True,2,95,117,5,6,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.077399244766337,-0.21841227426398127
1.7273386599999867,True,1,95,112,6,7,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0767371661600824,-0.2443637699818693
1.7278032389995133,True,2,96,113,3,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0765717202343006,-0.2507882015569658
1.7280941569997594,True,3,281,79,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.6411843712535681,-0.15088834401226184
1.7984994640000878,True,1,96,110,6,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0697110935502911,-0.25206997010536997
1.798764834999929,True,2,97,113,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0765717202343006,-0.2507882015569658
1.8158727210002326,True,1,99,112,6,7,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.063390691634212,-0.23460755013503817
1.8161041399998794,True,2,103,115,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0569524933458239,-0.22373754947955513
1.8162196209996182,True,3,99,115,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0702038342450124,-0.23304910560516823
1.8976986099996793,True,1,107,127,1,2,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0456525634795235,-0.14720169633786384
1.8979185469997901,True,2,102,120,8,6,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0549614172380997,-0.17145587693570336
1.898051457999827,True,3,103,121,6,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0549614172380997,-0.17145587693570336
1.9292869609998888,True,1,106,130,6,6,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.043368252954486,-0.10797899403965495
1.9294786809996367,True,2,108,133,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.04352765446456,-0.10167202737004649
1.9296378789995288,True,3,106,128,4,2,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0493862406186854,-0.1299301796875053
1.9960944909998943,True,1,114,155,4,2,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0279096473835843,0.04746454567853213
2.0266615900000033,True,1,120,173,2,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0147816194066197,0.150053565797454
2.092787020000287,True,1,124,204,8,5,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.001362572325674,0.33535479441124344
2.092955629000244,True,2,125,202,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0035327001497776,0.30465839360250657
2.125930229000005,True,1,128,225,1,2,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.9947381101756094,0.41694177359247125
2.1261993019998044,True,2,131,222,3,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.9883655979680742,0.4031627016134876
2.126374468999529,True,3,128,222,2,2,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.994437923368116,0.40704502468167275
2.1963783419996616,True,1,126,230,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0047007151128922,0.4478744469408034
2.2288761740001064,True,1,118,216,8,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0156096623472712,0.40583622228494654
2.2291070330002185,True,2,281,79,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.6411843712535681,-0.15088834401226184
2.298965869999847,True,1,112,202,7,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0322537856754326,0.33553908707000263
2.299151090000123,True,2,281,79,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.6411843712535681,-0.15088834401226184
2.3301849789995686,True,1,109,198,8,7,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.044654099435181,0.32505257730230586
2.33036426200033,True,2,113,200,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0380352207901171,0.31585729289107006
2.330456470000172,True,3,109,199,3,5,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0475822570399815,0.3148828785052647
2.395263211999918,True,1,104,198,6,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0575595548726635,0.3260309668965672
2.395490678999522,True,2,104,199,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0673227333997017,0.3252530407088768
2.426741661000051,True,1,102,200,8,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0646550706246949,0.347955351285005
2.4269433219997154,True,2,104,200,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0706555122415344,0.3270699863711994
2.502352532000259,True,1,100,212,8,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.073289249343402,0.42406754699272525
2.5256008289998135,True,1,100,220,8,6,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0779683000910363,0.4728322264383812
2.5259263649995773,True,2,281,79,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.6411843712535681,-0.15088834401226184
2.6000907709994863,True,1,105,244,2,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0747223926970024,0.5790795700987283
2.6002767210002276,True,2,100,242,4,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.0846712736164004,0.5837878783594005
2.6961936749994493,True,1,88,218,7,8,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1152044755012251,0.4872024330246888
