iter,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
66,2,98,138,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
67,1,96,140,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0812153499651835,-0.06265221745635628
67,2,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
68,1,96,142,2,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0813816211849792,-0.05568755699085624
68,2,96,140,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
68,3,98,138,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
69,1,96,140,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0812153499651835,-0.06265221745635628
69,2,99,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0773474438616668,-0.08214697015087738
70,1,98,142,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
70,2,96,142,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.08799393132314,-0.06503751340056602
70,3,100,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0741553262656027,-0.07402039710856319
70,4,96,140,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.084264919227749,-0.07783939536016893
71,1,98,142,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.07800995735882,-0.054578382619191616
72,1,100,145,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0716321697217313,-0.0387773819325693
72,2,98,144,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0815479218606594,-0.04871189346248324
72,3,101,142,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0713031333347067,-0.05241253382229143
73,1,100,147,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.071961324207049,-0.025106388071983794
73,2,102,144,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0649716757010983,-0.03688829711672294
