iter,time,fps,numOfBall
58,0.7517735470009939,77437.59014349742,2
59,0.7621629080003913,96252.31042197833,3
60,0.7739496490012243,84841.09389773884,3
61,0.7849022720001813,91302.33005328804,2
62,0.7966046439996717,85452.76120461259,2
63,0.8080433640006959,87422.36892855691,4
64,0.8198842609999701,84453.06128930018,3
65,0.8308474320001551,91214.48529655601,3
66,0.8433857990003162,79755.20257041068,2
67,0.8550293930002226,85884.1350881897,2
68,0.8667259750000085,85495.06172130532,3
69,0.8785969090004073,84239.3698732047,2
70,0.8902859240006364,85550.40779572948,4
71,0.9017672810005024,87097.71850240996,1
72,0.9152142040002218,74366.45543525965,3
73,0.9278355980004562,79230.55091865652,2
74,0.9412081919999764,74779.80712163108,3
75,0.9530019699996046,84790.47172428746,1
76,0.9652059899999585,81940.21314050614,3
77,0.9759744180009875,92864.0652010161,2
78,0.9879974970008334,83173.37015025997,2
79,1.0001145300011558,82528.45395183723,2
80,1.012455931000659,81028.07777174271,1
81,1.0256373459997121,75864.38937487561,1
82,1.0376696359999187,83109.69898355451,2
83,1.049016549000953,88129.69658874073,2
84,1.0629450300002645,71795.33791584567,1
85,1.0750476350003737,82626.83942762561,1
86,1.087111498000013,82892.18801887124,5
87,1.1023069630009559,65809.10817391548,3
88,1.1170880820009188,67653.87654361676,1
89,1.127639303000251,94775.76102929666,1
90,1.1385658199997124,91520.47263087476,3
91,1.151039843000035,80166.59901734475,3
92,1.1628027650003787,85012.89050210339,3
93,1.1753950080001232,79413.96937942601,1
94,1.1875000790005288,82610.0069934736,3
95,1.1984392550002667,91414.56358540691,1
96,1.2114759430005506,76706.5990977327,2
97,1.2235948409997945,82515.75350022649,1
98,1.238977380000506,65008.77390616416,1
99,1.2496138240003347,94016.38367259757,2
100,1.2607876689999102,89494.70840502875,2
101,1.2725279679998494,85176.70631771696,1
102,1.2848489970001538,81162.0522908674,4
103,1.2961217390002275,88709.56152402452,1
104,1.3082892050006194,82186.38128660427,1
105,1.3200718259995483,84870.7600873273,2
106,1.3318129260005662,85170.89539423934,1
107,1.343044307001037,89036.2458506295,2
108,1.3580529080009,66628.46190721708,3
109,1.37387686799957,63195.30636351758,2
110,1.3874882809996052,73467.75827002099,2
111,1.3983648040011758,91941.14698746988,4
112,1.4110269930006325,78975.28618810752,1
113,1.4237421990001167,78645.99284042807,1
114,1.434916885000348,89487.973083029,2
115,1.4472682650011848,80962.61307904466,2
116,1.4592457150010887,83490.22538253322,2
117,1.4701778710004874,91473.26474805201,1
118,1.4807253440012573,94809.43918292085,1
119,1.4914533219998702,93214.2105557353,2
120,1.5033089330008806,84348.24657411367,1
121,1.5147495399996842,87407.9496048224,2
122,1.5259882999998808,88977.78758355048,2
123,1.536677090000012,93555.95909244478,2
124,1.5478382230012357,89596.63861100415,2
125,1.560502329000883,78963.33148410564,2
126,1.5739114610005345,74576.04265704853,2
127,1.5844232500003272,95131.28545671093,1
128,1.5985602279997693,70736.47564843556,2
129,1.6099670370003878,87666.93647152117,2
130,1.6204444989998592,95442.96128685074,2
131,1.633139392000885,78771.83367510051,1
132,1.6476436760003708,68945.14751886085,2
133,1.6607090950001293,76537.92044621609,1
134,1.671413260000918,93421.57935031125,3
135,1.6827055360008671,88556.10684723778,1
136,1.6939746879997983,88737.8216297769,2
137,1.7068498580010782,77668.8773740922,2
138,1.7184427789998153,86259.53718730052,2
139,1.7307037749997107,81559.44264303913,2
140,1.7424048670000047,85462.1090044308,1
141,1.7549134220007545,79945.28544184838,1
142,1.7682484489996568,74990.47434117047,2
143,1.7811559590008983,77474.2765958592,2
144,1.7964069850004307,65569.35907332781,2
145,1.8084128390000842,83292.70038006979,1
146,1.8201626709997072,85107.59983905191,3
147,1.8309800179995364,92444.10852455712,1
148,1.8457672420008748,67625.94520171497,2
