time,found,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
1.6623087749994738,True,1,613,201,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.34838566057344095,0.13364942813594413
1.6625337509995006,True,2,613,199,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3483359133779167,0.13096271788863165
1.6627322189997358,True,3,608,199,3,4,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3498828983729316,0.13254429811092322
1.7380109549994813,True,1,624,199,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3428626923545777,0.13013116410755
1.7382680799992158,True,2,620,198,2,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.34433894079378724,0.1303551481096897
1.738424336999742,True,3,620,190,8,7,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3432325043855727,0.12358747380623335
1.763539839999794,True,1,626,186,6,6,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.34019130459873087,0.11664135762005971
1.7637888159997601,True,2,628,189,3,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3402150717149065,0.11795446281238836
1.7639443509997363,True,3,629,184,4,5,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3391575452536983,0.11260673920842339
1.7640863919996264,True,4,632,182,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.33858404224498045,0.10732717079193345
1.7642279229994529,True,5,630,182,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,0.3395433886366434,0.10740501329343682
4.467703892999452,True,1,0,206,2,2,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.4727302337508117,1.0584367990340338
5.945851049999874,True,1,80,351,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1815378929019202,1.0652267769502421
5.9460362689997055,True,2,76,349,4,3,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1927231110995336,1.0781634837803635
5.9461364459994,True,3,79,348,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.1847053694197864,1.0623920607382347
5.946205428999747,True,4,73,342,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.2061145883138826,1.0744378701519113
5.946271019000051,True,5,73,340,1,1,2.0096509441439089536,3.602839708174533976,0.34730273127770009355,1.2057420231071643,1.0694913389379919
