10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270
41,50,60,73,83,92,102,112,124,135,145,157,169,180,190,202,215,223,238,250,260,270,281,291,301,311,331
44,53,63,74,85,93,106,117,128,138,148,160,171,181,192,207,217,228,240,251,260,270,282,291,302,314,320
